"gene"	"pool8"	"pool7"	"pool9"	"pool10"	"pool11"	"pool12"	"pool1"	"pool2"	"pool3"	"pool4"	"pool5"
"ERBB3"	NA	NA	NA	NA	NA	NA	NA	"0.0324675324675325"	NA	NA	NA
"CHD9"	NA	NA	NA	NA	NA	NA	NA	NA	"0.00194524367134278"	NA	NA
"PITHD1"	NA	NA	NA	NA	NA	NA	NA	NA	"0.00194524367134278"	NA	NA
"JMJD1C"	NA	NA	NA	NA	NA	NA	NA	NA	"0.00216450216450216"	NA	NA
"VCAN"	NA	NA	NA	NA	NA	NA	NA	NA	"0.00216450216450216"	NA	NA
"CAB39L"	NA	NA	NA	NA	NA	NA	NA	NA	"0.00216450216450216"	NA	NA
"TAOK1"	NA	NA	NA	NA	NA	NA	NA	NA	"0.00216450216450216"	NA	NA
"SUV420H1"	NA	NA	NA	NA	NA	NA	NA	NA	"0.00216450216450216;0.00216450216450216"	NA	NA
"DYRK2"	NA	NA	NA	NA	NA	NA	NA	NA	"0.00216450216450216"	NA	NA
"RNF8"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0075121425683417"	NA	NA
"NSUN7"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0075121425683417"	NA	NA
"GPR183"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0232420593031584"	NA	NA
"NDUFA6"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0242030095880738"	NA	NA
"USP37"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0248729953607515"	NA	NA
"UBE2L3"	NA	NA	NA	NA	NA	NA	NA	NA	"0.025974025974026"	NA	NA
"KLHL21"	NA	NA	NA	NA	NA	NA	NA	NA	"0.025974025974026"	NA	NA
"NRBP2"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0265136956012634"	NA	NA
"BBS2"	NA	NA	NA	NA	NA	NA	NA	NA	"0.036576612062263"	NA	NA
"TPSD1"	NA	NA	NA	NA	NA	NA	NA	NA	"0.036576612062263"	NA	NA
"HIST1H2BJ"	NA	NA	NA	NA	NA	NA	NA	NA	"0.036576612062263"	NA	NA
"DCLRE1B"	NA	NA	NA	NA	NA	NA	NA	NA	"0.036576612062263"	NA	NA
"SEC13"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0379265715449333"	NA	NA
"SCGB3A1"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0379265715449333"	NA	NA
"ETNK2"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0400211351791566"	NA	NA
"DNAJC1"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0518020974939382"	NA	NA
"AMZ2"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0556051708761884"	NA	NA
"SNURF"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0556051708761884"	NA	NA
"USP44"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0556051708761884"	NA	NA
"CHD1L"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0556051708761884"	NA	NA
"ASXL2"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0556051708761884"	NA	NA
"MYLK"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0563750936774293"	NA	NA
"KCTD2"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0627705627705628"	NA	NA
"THEG5"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0627705627705628"	NA	NA
"VPS11"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0627705627705628"	NA	NA
"ACP6"	NA	NA	NA	NA	NA	NA	NA	NA	"0.075481159880126"	NA	NA
"GIGYF2"	NA	NA	NA	NA	NA	NA	NA	NA	"0.075481159880126"	NA	NA
"B2M"	NA	NA	NA	NA	NA	NA	NA	NA	"0.081707215893331"	NA	NA
"ARL8A"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0834970589630927"	NA	NA
"SOST"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0846445308351945"	NA	NA
"GNAT1"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0846445308351945"	NA	NA
"KDM5C"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0887445887445887"	NA	NA
"TWISTNB"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0954206364804796"	NA	NA
"KDM2B"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0954206364804796"	NA	NA
"IPPK"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0954206364804796"	NA	NA
"SLC38A5"	NA	NA	NA	NA	NA	NA	NA	NA	"0.0978101056931209"	NA	NA
"ZYG11B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.0627705627705628"	NA
"ITPRIP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.081707215893331"	NA
"NEB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.081707215893331"	NA
"XAGE3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.081707215893331"	NA
"PNRC2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.081707215893331"	NA
"TRIM23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.00287057118961934"
"PCBP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.00287057118961934"
"NEU2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.00287057118961934"
"AKR1C3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.00287057118961934"
"KIAA1211"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.00287057118961934"
"METTL22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.00653092260036473"
"MANF"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.00696095666407199"
"SIGLEC7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.0307592215415707"
"TTLL11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.0332839831906398"
"DDX54"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.0345532623841363"
